n,0.05,0.155556,0.261111,0.366667,0.472222,0.577778,0.683333,0.788889,0.894444,1
1,0.600137,0.495208,0.79436,1,0.661815,0.825158,0.826394,0.826394,0.826394,0.826394
2,0.633812,0.902961,0.823141,0.799235,0.969385,0.969385,0.969385,0.969385,0.969385,0.969385
3,1,0.857335,0.464041,0.464041,0.464041,0.232021,0.232021,0.232021,0.232021,0.232021
4,0.641868,0.854954,0.617339,0.778976,0.778976,0.778976,0.778976,0.778976,0.778976,0.778976
5,0.580047,1,1,0.503429,0.503429,0.503429,0.503429,0.503429,0.503429,0.503429
6,0.793456,0.65714,0.640483,0.640483,0.320241,0.320241,0.320241,0.320241,0.320241,1
7,0.675153,0.89762,0.694592,1,1,1,1,1,1,1
8,0.749004,0.604276,0.482689,0.604696,0.619753,0.619753,0.619753,0.619753,0.619753,0.619753
9,0.706937,0.714482,0.714482,0.874282,1,1,1,1,1,1
10,0.638812,0.84445,0.777126,0.50622,0.50622,0.50622,0.50622,0.50622,0.50622,0.50622
